TrialNumber,Card1,Card2,Card3,Card4,Card5,Card6,Mean_EV,Std,Mean_InfoSeeking,Mean_InfoSeeking_Normalized,Mean_InfoValue,NumSubjects
1,7,2,3,2,1,-6,1.5,4.23083916,0.488590743,-0.177761055,0.2,49
2,3,-7,6,-6,1,7,0.666666667,5.955389716,0.694022821,0.22007262,0.666666667,49
3,1,-3,-6,8,-7,3,-0.666666667,5.750362307,0.70406608,0.226387403,0.683333333,49
4,-9,8,-9,7,-2,-9,-2.333333333,8.091147426,0.652931413,0.131793458,0.516666667,49
5,6,-8,6,-1,5,5,2.166666667,5.636192568,0.621800077,0.067475138,0.233333333,49
6,6,-5,-7,1,-1,-3,-1.5,4.636809248,0.463087429,-0.350161522,0.233333333,49
7,6,-7,2,1,-5,6,0.5,5.468089246,0.67013616,0.044943753,0.65,49
8,2,4,8,-3,-8,5,1.333333333,5.853773712,0.698642849,0.187491623,0.466666667,49
9,-4,-5,-1,-1,-8,-1,-3.333333333,2.875181154,0.168407223,-1.175437268,0,49
10,-2,-8,-7,4,-6,5,-2.333333333,5.680375574,0.450504951,-0.391925187,0.216666667,49
11,-9,-2,-4,3,7,1,-0.666666667,5.609515725,0.760284387,0.244106912,0.65,49
12,-7,-2,-8,-8,-6,9,-3.666666667,6.592925501,0.426277635,-0.369508958,0.016666667,49
13,-1,-2,1,3,-6,-2,-1.166666667,3.060501048,0.431720113,-0.334292685,0.116666667,49
14,6,1,-5,-3,-5,8,0.333333333,5.645056835,0.702320168,0.229158353,0.766666667,49
15,2,-3,1,9,-9,-2,-0.333333333,5.988878582,0.720596071,0.292887103,0.866666667,49
16,-8,6,4,5,7,5,3.166666667,5.564770136,0.47540259,-0.336045405,0,49
17,-3,7,3,-5,-9,8,0.166666667,6.882344562,0.757150923,0.354506671,1.083333333,49
18,-7,1,8,1,-1,-5,-0.5,5.282045058,0.672831064,0.063452823,0.683333333,49
19,5,-4,-1,-2,8,8,2.333333333,5.316640543,0.779346336,0.444917857,0.133333333,49
20,1,-4,9,4,1,2,2.166666667,4.262237284,0.402900643,-0.500192844,0.066666667,49
21,-7,8,-4,-1,-1,-6,-1.833333333,5.419102017,0.358559917,-0.608128344,0.233333333,49
22,7,-6,-1,-1,-5,2,-0.666666667,4.760952286,0.493905133,-0.253412515,0.5,49
23,2,-6,5,3,-1,-3,0,4.098780306,0.686235988,0.180265939,0.7,49
24,2,-6,-3,3,7,-6,-0.5,5.319774431,0.72511889,0.314710082,0.683333333,49
25,-1,7,3,4,2,5,3.333333333,2.732520204,0.408648299,-0.558003546,0,49
26,-8,-7,4,-8,7,-3,-2.5,6.534523701,0.605694837,0.032149551,0.3,49
27,-9,-3,7,-3,1,-3,-1.666666667,5.316640543,0.43752397,-0.409736826,0.3,49
28,3,-5,-2,-9,9,5,0.166666667,6.705718952,0.777704826,0.435688972,1.066666667,49
29,-1,1,1,5,5,6,2.833333333,2.857738033,0.451508542,-0.493117,0,49
30,-4,7,6,-1,3,-1,1.666666667,4.366539438,0.729728207,0.254748177,0.166666667,49
31,-4,-8,1,9,-9,-1,-2,6.633249581,0.450644679,-0.390400897,0.366666667,49
32,3,-7,4,2,6,6,2.333333333,4.844240567,0.506413963,-0.317645777,0.05,49
33,-8,1,6,1,-2,1,-0.166666667,4.622409184,0.626366623,0.036403505,0.7,49
34,-7,5,2,8,2,-9,0.166666667,6.735478206,0.685432044,0.130546685,0.983333333,49
35,-5,-3,-5,-8,-4,-9,-5.666666667,2.338090389,0.231445251,-1.023238672,0,49
36,-5,8,9,7,-5,-8,1,7.771743691,0.798844096,0.364066775,0.9,49
37,-5,-8,-6,2,-8,-1,-4.333333333,4.03319559,0.310124771,-0.793769093,0,49
38,4,7,-4,6,8,-9,2,6.899275324,0.651271006,0.07565791,0.45,49
39,-6,4,-7,-5,9,-5,-1.666666667,6.562519841,0.558378964,-0.116116864,0.483333333,49
40,4,3,-7,7,1,1,1.5,4.722287581,0.401106669,-0.623717795,0.25,49
41,-6,2,-3,8,-1,3,0.5,4.929503018,0.688749096,0.184925476,0.616666667,49
42,5,-1,5,3,3,-4,1.833333333,3.600925807,0.538168364,-0.12307833,0.066666667,49
43,-3,-9,9,6,2,2,1.166666667,6.431692364,0.627415283,0.022532253,0.6,49
44,6,-8,-1,-1,5,-3,-0.333333333,5.202563471,0.513227775,-0.242039675,0.733333333,49
45,-7,4,-9,-8,4,-5,-3.5,5.958187644,0.511102622,-0.251383413,0.066666667,49
46,8,8,-4,-6,8,-2,2,6.693280212,0.693168719,0.165069757,0.3,49
47,-4,-2,-3,-4,1,2,-1.666666667,2.581988897,0.382990259,-0.557114515,0.016666667,49
48,-5,-2,1,-3,-8,7,-1.666666667,5.202563471,0.509417778,-0.212082146,0.266666667,49
49,-3,2,-4,6,-2,9,1.333333333,5.278888772,0.686477297,0.151481697,0.366666667,49
50,-8,-4,4,-5,2,6,-0.833333333,5.600595206,0.73162732,0.209197748,0.583333333,49
51,2,-2,2,-6,-3,-8,-2.5,4.086563348,0.39810462,-0.516981111,0.05,49
52,9,1,1,7,-4,1,2.5,4.722287581,0.405944914,-0.473097967,0.1,49
53,4,-8,-6,-1,-7,2,-2.666666667,5.046450898,0.397473456,-0.473509413,0.083333333,49
54,4,6,7,5,4,1,4.5,2.073644135,0.30178165,-0.880396111,0,49
55,-7,6,8,-3,-8,-9,-2.166666667,7.413950814,0.508201225,-0.341566613,0.483333333,49
56,-4,-2,-5,5,-8,-7,-3.5,4.679743583,0.249047533,-1.012814889,0,49
57,3,-1,5,-4,-9,-2,-1.333333333,5.006662228,0.432246155,-0.366713555,0.316666667,49
58,-6,3,-2,1,-4,7,-0.166666667,4.792355023,0.74025489,0.339530564,0.733333333,49
59,1,3,-8,3,-4,-9,-2.333333333,5.428320796,0.595604123,-0.01375561,0.15,49
60,6,-4,2,5,-5,-8,-0.666666667,5.785038173,0.725353971,0.273524783,0.683333333,49
61,1,-6,4,-4,-7,1,-1.833333333,4.44597196,0.517245893,-0.238431497,0.133333333,49
62,9,2,9,1,-4,-1,2.666666667,5.316640543,0.504102169,-0.213075855,0.133333333,49
63,-2,-1,4,-5,5,1,0.333333333,3.777124126,0.644521853,0.027954722,0.483333333,49
64,6,3,4,-7,-2,-3,0.166666667,4.956477244,0.752457555,0.300631203,0.766666667,49
65,1,3,-8,8,-3,-3,-0.333333333,5.573747991,0.77711205,0.435095414,0.8,49
66,-1,-3,-7,7,2,-4,-1,4.939635614,0.481931159,-0.250391095,0.433333333,49
67,5,4,9,4,-4,-8,1.666666667,6.345602152,0.632955555,0.045584739,0.433333333,49
68,9,-3,6,-1,8,7,4.333333333,5.046450898,0.509437337,-0.221850066,0,49
69,8,7,-3,-1,-6,1,1,5.54977477,0.662894267,0.093198134,0.5,49
70,-5,2,1,7,-3,6,1.333333333,4.760952286,0.552814848,-0.078779859,0.3,49
71,8,-2,-8,6,7,8,3.166666667,6.645800679,0.628202372,0.013391117,0.183333333,49
72,-2,5,3,7,-9,1,0.833333333,5.741660619,0.625732753,-0.039141939,0.633333333,49
73,4,-3,-7,-7,4,3,-1,5.329165038,0.692725816,0.197639649,0.433333333,49
74,-8,-8,-7,9,4,-6,-2.666666667,7.312090444,0.592132606,-0.067218345,0.383333333,49
75,9,-8,-8,1,5,4,0.5,7.063993205,0.746214476,0.306390083,0.916666667,49
76,2,3,-3,-1,-5,-3,-1.166666667,3.125166662,0.402457031,-0.54482143,0.133333333,49
77,-1,3,5,8,-7,7,2.5,5.648008499,0.60623275,-0.016895203,0.15,49
78,-8,9,1,-8,9,-3,0,7.745966692,0.795919081,0.411570244,1.266666667,49
79,2,4,-7,-5,-3,1,-1.333333333,4.320493799,0.623987712,0.058243022,0.216666667,49
80,3,-1,-7,-5,2,-2,-1.666666667,3.881580434,0.427214423,-0.44747047,0.116666667,49
81,-8,-9,8,1,-3,9,-0.333333333,7.737355276,0.825206461,0.438824718,1.1,49
82,8,-9,8,3,-9,-2,-0.166666667,7.782458909,0.770583769,0.334397924,1.216666667,49
83,-4,3,8,-9,-8,8,-0.333333333,7.711463328,0.769038177,0.296768558,1.166666667,49
84,1,-5,-8,9,-8,8,-0.5,7.71362431,0.8510968,0.56292825,1.05,49
85,8,8,-9,1,-9,-2,-0.5,7.661592524,0.795141462,0.486008914,0.983333333,49
86,8,-9,-8,-5,4,9,-0.166666667,8.134289561,0.805771138,0.408495533,1.35,49
87,4,9,-9,9,-9,-5,-0.166666667,8.542052837,0.882712479,0.659037889,1.416666667,49
88,9,-1,1,8,-9,-9,-0.166666667,7.859177226,0.855488378,0.552969611,1.15,49
89,9,-8,-9,1,-3,9,-0.166666667,7.960318252,0.795486592,0.440568813,1.216666667,49
90,3,-5,9,-9,-8,9,-0.166666667,8.256310718,0.860784396,0.579903066,1.35,49
91,6,-9,9,-8,4,-1,0.166666667,7.467708261,0.810049807,0.406513317,1.15,49
92,8,-8,5,-8,2,1,0,6.6633325,0.749098367,0.24053772,1.066666667,49
93,5,-6,8,-9,4,-4,-0.333333333,6.889605697,0.787098469,0.336838829,1.033333333,49
94,8,-7,-9,-6,3,9,-0.333333333,7.991662322,0.767271188,0.351843451,1.233333333,49
95,8,7,-9,-3,8,-7,0.666666667,7.916228058,0.835954326,0.616994366,1.066666667,49
96,9,-5,-8,3,2,-1,0,6.066300355,0.81664801,0.642068502,1.033333333,49
97,2,9,-5,-7,8,-8,-0.166666667,7.574078602,0.8785439,0.58661219,1.216666667,49
98,8,3,-7,-9,9,-9,-0.833333333,8.495096625,0.854780119,0.558429473,1.083333333,49
99,6,-7,-9,2,8,-1,-0.166666667,6.853223086,0.78317835,0.338329001,1.033333333,49
100,9,-9,8,-9,-1,1,-0.166666667,7.859177226,0.798310075,0.399759319,1.15,49
